,place_id,formatted_address,name,rating,types,user_ratings_total,geometry.location.lat,geometry.location.lng,plus_code.compound_code,canton,brand
0,ChIJoetcG74HkEcR5_9mPkmNtSI,"Allmendstrasse 5, 8914 Aeugst am Albis",Volg,4.4,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",47.0,47.26797270000001,8.4862223,7F9P+6C Aeugst am Albis, Aeugst am Albis,Volg
2,ChIJk6WFSkcGkEcRwsvlTASqby8,"Büelstrasse 15, 8910 Affoltern am Albis",Coop Supermarkt Affoltern am Albis,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",1179.0,47.2738709,8.445676299999999,7CFW+G7 Affoltern am Albis, Affoltern am Albis,Coop Supermarkt Affoltern am Albis
3,ChIJW4AoZTcGkEcRZ-7-G4qYMg0,"Centralweg 3, 8910 Affoltern am Albis",Lidl Schweiz,4.1,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'home_goods_store', 'store', 'point_of_interest', 'food', 'establishment']",292.0,47.2780069,8.4530301,7FH3+66 Affoltern am Albis, Affoltern am Albis,Lidl Schweiz
4,ChIJLzM1Oh8HkEcRwBmfpSnSZx8,"Industriestrasse 5, 8910 Affoltern am Albis",ALDI SUISSE,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",292.0,47.2727245,8.4470147,7CFW+3R Affoltern am Albis, Affoltern am Albis,ALDI SUISSE
5,ChIJURZXD2oGkEcRtXYXRHI1aFc,"Obfelderstrasse 1, 8910 Affoltern am Albis",migrolino Affoltern am Albis,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",67.0,47.2746869,8.445784699999999,7CFW+V8 Affoltern am Albis, Affoltern am Albis,migrolino Affoltern am Albis
6,ChIJbVjFjJsLkEcRmmja4zZ_CA4,"Zürichstrasse 51, 8910 Affoltern am Albis",Denner Discount,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",161.0,47.2761317,8.4502698,7FG2+F4 Affoltern am Albis, Affoltern am Albis,Denner Discount
7,ChIJUaO3CTcGkEcRvmRzl8dy-Pw,"Jonentalstrasse 1, 8910 Affoltern am Albis",Denner Discount,4.0,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",202.0,47.2771601,8.4548399,7FG3+VW Affoltern am Albis, Affoltern am Albis,Denner Discount
10,ChIJa0A7_iwHkEcR_cg1cTUfT2I,"Obfelderstrasse 37, 8910 Affoltern am Albis",avec,3.6,"['convenience_store', 'supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",7.0,47.2714382,8.4403033,7CCR+H4 Affoltern am Albis, Affoltern am Albis,avec
11,ChIJ5XqpauCnmkcRSu7SHa5XsOU,"Höflistrasse 7, 8135 Langnau am Albis",Coop Supermarkt Langnau am Albis,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",200.0,47.2892437,8.5397724,7GQQ+MW Langnau am Albis, Langnau am Albis,Coop Supermarkt Langnau am Albis
13,ChIJ8XTvszoGkEcR_9pLF7bYgxU,"Im Wängli 6, 8910 Affoltern am Albis",Coop Pronto Affoltern am Albis,4.2,"['gas_station', 'supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",177.0,47.2840263,8.4534833,7FM3+J9 Affoltern am Albis, Affoltern am Albis,Coop Pronto Affoltern am Albis
14,ChIJwc3iWeEHkEcRMXI-ZNZOjaA,"Bahnhofstrasse 6/8, 8932 Mettmenstetten",SPAR Supermarkt Mettmenstetten,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",208.0,47.2437599,8.4616419,6FV6+GM Mettmenstetten, Mettmenstetten,SPAR Supermarkt Mettmenstetten
15,ChIJE3S8b60HkEcRnNcc_OSGquY,"Obfelderstrasse 38, 8910 Affoltern am Albis",avec | Oil! Tankstelle,2.7,"['supermarket', 'gas_station', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",3.0,47.2725853,8.4388771,7CFQ+2H Affoltern am Albis, Affoltern am Albis,avec | Oil! Tankstelle
16,ChIJSVZVLhsHkEcR4iiFe_SIXgE,"Albisstrasse 3, 8932 Mettmenstetten",Volg Mettmenstetten,4.3,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",115.0,47.24395149999999,8.463845,6FV7+HG Mettmenstetten, Mettmenstetten,Volg Mettmenstetten
19,ChIJR20XCHAGkEcRC3aZj3d3dHE,"Ottenbacherstrasse 23, 8912 Obfelden",Coop Supermarkt Obfelden,3.9,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",222.0,47.266924,8.4242246,7C8F+QM Obfelden, Obfelden,Coop Supermarkt Obfelden
20,ChIJRd8FZ58IkEcRrWQ9rqwsy4E,"Zwillikerstrasse 4, 8908 Hedingen",Volg & post office,4.0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",86.0,47.2983714,8.4477121,7CXX+83 Hedingen, Hedingen,Volg & post office
21,ChIJAVeve_MIkEcRNMxmqY7Oeqg,"Dorfstrasse 15, 8906 Bonstetten",SPAR Supermarkt Bonstetten,4.1,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",128.0,47.3149329,8.4696844,8F79+WV Bonstetten, Bonstetten,SPAR Supermarkt Bonstetten
22,ChIJdQ156voIkEcRWMowxAxGMpM,"Im Heumoos 25, 8906 Bonstetten",Coop Supermarkt Bonstetten,4.2,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",321.0,47.3242618,8.4687602,8FF9+PF Bonstetten, Bonstetten,Coop Supermarkt Bonstetten
24,ChIJu4GsOvsIkEcRVigLe7K6Y2s,"Stationsstrasse 32, 8906 Bonstetten",avec,3.3,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",106.0,47.32566449999999,8.4682359,8FG9+77 Bonstetten, Bonstetten,avec
25,ChIJ5_6ndgQJkEcRtvA3P0l4SQc,"Kirchgasse 2, 8907 Wettswil am Albis",Volg Wettswil,4.1,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",114.0,47.33757629999999,8.4748141,8FQF+2W Wettswil am Albis, Wettswil am Albis,Volg Wettswil
27,ChIJ0YCpYsoOkEcRNz3Ngc-ZFXg,"Zürcherstrasse 13a, 8903 Birmensdorf",Coop Supermarkt Birmensdorf,4.2,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",278.0,47.3537676,8.4368392,9C3P+GP Birmensdorf, Birmensdorf,Coop Supermarkt Birmensdorf
28,ChIJT5Z9QAgJkEcRVPIIyMRyfy8,"Sellenbüren 61, 8143 Stallikon",Coop Supermarkt Stallikon,4.0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",147.0,47.342808,8.4829805,8FVM+46 Stallikon, Stallikon,Coop Supermarkt Stallikon
29,ChIJTUhiXjIIkEcRJo4d0p5UxZg,"Leimbachstrasse 200, 8041 Zürich",Coop Supermarkt Zürich Leimbach,4.2,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",178.0,47.3262298,8.5143126,8GG7+FP Zürich, Zürich,Coop Supermarkt Zürich Leimbach
30,ChIJQciutCsJkEcR_PycjLsAsno,"Haldenstrasse 1, 8904 Aesch",Volg Aesch,4.3,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",44.0,47.3372969,8.4386165,8CPQ+WF Aesch, Aesch,Volg Aesch
31,ChIJ256Za70JkEcRHKkutj37Fu4,"Soodstrasse 52, 8134 Adliswil",Denner Express,4.0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",65.0,47.320401,8.521865,8GCC+5P Adliswil, Adliswil,Denner Express
32,ChIJRbW05DoJkEcRzH62B-yFyhk,"Soodring 36, 8134 Adliswil",ALDI SUISSE,4.4,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",229.0,47.316118,8.520560999999999,8G8C+C6 Adliswil, Adliswil,ALDI SUISSE
33,ChIJKwXhooIHkEcR4byb-Oi46Yo,"Büelstrasse 15, 8910 Affoltern am Albis",Coop Kiosk,5.0,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",1.0,47.2739173,8.4458267,7CFW+H8 Affoltern am Albis, Affoltern am Albis,Coop Kiosk
34,ChIJpUna3ESpmkcR3AAad0Rvfpc,"Zugerstrasse 2, 6340 Hausen am Albis",migrolino Sihlbrugg,4.3,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",49.0,47.21689569999999,8.5762232,6H8G+QF Neuheim, Hausen am Albis,migrolino Sihlbrugg
35,ChIJoQG5QLWpmkcR5ScLJvwiw3w,"Albisstrasse 19, 8915 Hausen am Albis",Volg,4.4,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",167.0,47.2482652,8.530597300000002,6GXJ+86 Hausen am Albis, Hausen am Albis,Volg
36,ChIJYzUJiJWpmkcRt4ER1Gr6cuY,"Albisstrasse 8, 8926 Kappel am Albis",Denner Partner,4.5,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",177.0,47.2297737,8.5272385,6GHG+WW Kappel am Albis, Kappel am Albis,Denner Partner
37,ChIJC-imIZuomkcRNW6A52oAmQc,"Alte Landstrasse 26, 8942 Oberrieden",Coop Supermarkt Oberrieden,4.3,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",156.0,47.2782658,8.5754782,7HHG+74 Oberrieden, Oberrieden,Coop Supermarkt Oberrieden
38,ChIJf65NcnSomkcRHbivDl29kNc,"Gattikonerstrasse 135, 8136 Gattikon",Lidl,4.1,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'home_goods_store', 'clothing_store', 'store', 'food', 'point_of_interest', 'establishment']",722.0,47.2829538,8.5439618,7GMV+5H Thalwil, Gattikon,Lidl
40,ChIJz5PcYciomkcROEc89Un7rKc,"Seestrasse 117, 8810 Horgen",SPAR express Horgen Seestrasse,4.0,"['grocery_or_supermarket', 'supermarket', 'store', 'food', 'point_of_interest', 'establishment']",176.0,47.2617088,8.5949738,7H6V+PW Horgen, Horgen,SPAR express Horgen Seestrasse
41,ChIJyTVfXJqomkcRpu_SFUSzSc4,"Alte Landstrasse 37, 8942 Oberrieden",migrolino Oberrieden,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",154.0,47.2767068,8.5775265,7HGH+M2 Oberrieden, Oberrieden,migrolino Oberrieden
42,ChIJX1K6MsSomkcRn56EHhpArSU,"Oberdorfstrasse 50, 8810 Horgen",migrolino Shop,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",86.0,47.2587963,8.589930299999999,7H5Q+GX Horgen, Horgen,migrolino Shop
43,ChIJFbFhJjAHkEcRMnmxXBtZG84,"Stampfistrasse 1, 8934 Knonau",Volg,4.5,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",63.0,47.223383,8.4613105,6FF6+9G Knonau, Knonau,Volg
44,ChIJIWicTnsHkEcRb5o6XbDX6Js,"Dorfpl. 1, 8911 Rifferswil",Volg Rifferswil,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",33.0,47.2426214,8.49602,6FVW+3C Rifferswil, Rifferswil,Volg Rifferswil
45,ChIJx1uESW4PkEcRzQhcKHcvfgs,"Zürcherstrasse 10, 8917 Oberlunkhofen",Volg Oberlunkhofen,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",98.0,47.3115659,8.39208,896R+JR Oberlunkhofen, Oberlunkhofen,Volg Oberlunkhofen
46,ChIJ5xQge2gHkEcRaMc0VkGGH_c,"Dorfstrasse 48, 8912 Obfelden",Volg Obfelden,0.0,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",0.0,47.26387769999999,8.4287414,7C7H+HF Obfelden, Obfelden,Volg Obfelden
47,ChIJL-nXqjcPkEcRL3CjpP7bp4Q,"Staldenstrasse 3, 8905 Arni",Volg,4.4,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",53.0,47.3188896,8.4198875,8C99+HX Arni, Arni,Volg
50,ChIJo1S3MDGqmkcR_5pEPukFo1o,"Oberdorfstrasse 6A, 6340 Baar",Coop Supermarkt Baar Oberdorf,4.1,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",238.0,47.1956308,8.5300792,5GWJ+92 Baar, Baar,Coop Supermarkt Baar Oberdorf
52,ChIJOW4Za6EAkEcR9ZT4L-8opxs,"Bahnhofstrasse 7, 6312 Steinhausen",Coop Supermarkt Steinhausen,4.4,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",310.0,47.19640330000001,8.4826207,5FWM+H2 Steinhausen, Steinhausen,Coop Supermarkt Steinhausen
53,ChIJn2aU7TmqmkcRoJlYqszaX68,"Poststrasse 3, 6340 Baar",Coop Supermarkt Baar Gotthard,4.2,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",494.0,47.1949845,8.5236062,5GVF+XC Baar, Baar,Coop Supermarkt Baar Gotthard
56,ChIJqb2Xe8AGkEcROl5oEMTGUho,"Bühlstrasse 1, 8933 Maschwanden",Volg Maschwanden,4.5,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",23.0,47.2345784,8.427523599999999,6CMH+R2 Maschwanden, Maschwanden,Volg Maschwanden
57,ChIJZcqlkXkHkEcRgOt1SwLWS0U,"Untere Bahnhofstrasse 5, 8932 Mettmenstetten",avec,2.7,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'meal_takeaway', 'cafe', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",15.0,47.2438337,8.4575661,6FV5+G2 Mettmenstetten, Mettmenstetten,avec
59,ChIJpWqHZk0EkEcRNvZiFhIGS8Y,"Luzernstrasse 2, 5634 Merenschwand",Volg Merenschwand,4.5,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",145.0,47.2592359,8.3746537,795F+MR Merenschwand, Merenschwand,Volg Merenschwand
60,ChIJI11au4wAkEcRyyjR9WT4MVY,"Seehofstrasse 14, 6330 Cham",Coop Supermarkt Cham Seehof,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",335.0,47.18148679999999,8.4616515,5FJ6+HM Cham, Cham,Coop Supermarkt Cham Seehof
61,ChIJ-9VFjOgFkEcRer4JzMbGEC0,"Dorfpl. 3, 8913 Ottenbach",Volg Ottenbach,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",97.0,47.2811749,8.404418999999999,7CJ3+FQ Ottenbach, Ottenbach,Volg Ottenbach
63,ChIJ5zTNyCIFkEcRCxyUMbBGw_4,"Seetalstrasse 1, 5630 Muri",Coop Supermarkt Muri AG,4.3,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",798.0,47.2733585,8.3413893,78FR+8H Muri, Muri,Coop Supermarkt Muri AG
64,ChIJ4-CUczkFkEcRQQ6YYKc73s4,"Aarauerstrasse 36, 5630 Muri",Lidl Schweiz,4.2,"['supermarket', 'convenience_store', 'grocery_or_supermarket', 'clothing_store', 'food', 'home_goods_store', 'store', 'point_of_interest', 'establishment']",441.0,47.2797554,8.3361305,78HP+WF Muri, Muri,Lidl Schweiz
65,ChIJI5DLRiMFkEcRaPlcnwC0Y9g,"Luzernerstrasse 32, 5630 Muri",Muri supermarkt,4.6,"['supermarket', 'grocery_or_supermarket', 'food', 'store', 'point_of_interest', 'establishment']",69.0,47.2707501,8.3431452,78CV+76 Muri, Muri,Muri supermarkt
72,ChIJ3SvcT-WnmkcR-jR4nBninW4,"Albisstrasse 20, 8134 Adliswil",Adli Markt,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",45.0,47.3101905,8.5254444,8G6G+34 Adliswil, Adliswil,Adli Markt
77,ChIJHVi3JfQJkEcRJv9MWJcnqMA,"Uetlibergstrasse 20, 8045 Zürich",Coop Supermarkt Zürich Manessehof,4.0,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",248.0,47.36488989999999,8.5211127,9G7C+XC Zürich, Zürich,Coop Supermarkt Zürich Manessehof
78,ChIJFwx7xe8JkEcRDrrE0f9X6mg,"Kalanderpl. 1, 8045 Zürich",Coop Supermarkt Zürich Sihlcity Supermarkt,4.4,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",860.0,47.3576232,8.5231751,9G5F+27 Zürich, Zürich,Coop Supermarkt Zürich Sihlcity Supermarkt
79,ChIJNfdm5i2nmkcRADcuUzDZoAk,"Dietlimoosplatz 1, 8134 Adliswil",ALDI SUISSE,4.3,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",9.0,47.3221605,8.529346199999999,8GCH+VP Adliswil, Adliswil,ALDI SUISSE
80,ChIJqUHEGYqnmkcR-RTA1HL7U0s,"Poststrasse 3, 8134 Adliswil",Coop Supermarkt Adliswil,4.1,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",394.0,47.3130391,8.525551799999999,8G7G+66 Adliswil, Adliswil,Coop Supermarkt Adliswil
81,ChIJIScCroEJkEcRbsFzBtV4S_0,"Birmensdorferstrasse 517, 8055 Zürich",migrolino Zürich Birmensdorferstrasse,4.3,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",26.0,47.3674068,8.4944007,9F8V+XQ Zürich, Zürich,migrolino Zürich Birmensdorferstrasse
82,ChIJ7SJ3VA0JkEcR8riOqfBvUIg,"Waldegg CH, Zürcherstrasse 1, 8142 Uitikon",Coop Supermarkt Uitikon Waldegg,4.4,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",126.0,47.36806499999999,8.4624693,9F96+6X Uitikon,herstrasse 1,Coop Supermarkt Uitikon Waldegg
83,ChIJVUL56IAJkEcRDXaPF7oDxp8,"Birmensdorferstrasse 484, 8055 Zürich",migrolino Triemli,4.3,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",133.0,47.3685826,8.4966337,9F9W+CM Zürich, Zürich,migrolino Triemli
84,ChIJYaLJr7mcmkcRAgp8MuXLd1s,"Hauptstrasse 4, 8452 Adlikon",BP Service Weinland West Express Shopping,4.2,"['supermarket', 'grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",170.0,47.5813267,8.6826502,HMJM+G3 Adlikon bei Andelfingen, Adlikon,BP Service Weinland West Express Shopping
